"","Control__1","Control__2","Control__3","Dose0_005__1","Dose0_005__2","Dose0_005__3","Dose0_08__1","Dose0_08__2","Dose0_08__3","Dose2__1","Dose2__2","Dose2__3","Dose24__1","Dose24__2","Dose24__3"
"hsa-miR-28-3p",0,265.956152344553,261.30505919388,621.838482322457,121.232981748155,799.18890586746,383.956986894276,130.739958348358,385.527536079946,240.835759065132,470.550258399056,1232.77775250204,976.522708507885,663.953345805177,383.029222311505
"hsa-miR-29a-3p",15757.9958012906,9241.97629397323,22298.0317178778,15101.7917135454,17134.2614204058,10868.9691197975,26318.5061925713,18347.1741548862,16725.9638730069,13299.4858061523,14492.9479586909,18491.6662875306,13976.4812655191,11098.9216015194,12030.5996644205
"hsa-miR-29b-3p",1303.29288582103,465.423266602968,2351.74553274492,621.838482322457,848.630872237082,908.551598249323,767.913973788552,1133.0796390191,948.990858042945,802.785863550441,815.620447891697,1008.63634295622,773.080477568742,971.155640132945,1096.85640934658
"hsa-miR-29c-3p",7938.23848636446,7313.79418947522,10800.609113347,9771.7475793529,12406.1751322278,7975.0640290774,17312.9695908692,13640.5356543453,10201.6517239617,7037.75607045886,7967.98437555734,9376.58229933372,7445.98565237263,6074.67762654587,7573.53235025022
"hsa-miR-301a-3p",0,1063.82460937821,0,222.08517225802,363.698945244464,252.375443958145,139.620722507009,414.009868103133,88.9678929415261,214.076230280117,596.030327305471,186.784507954855,0,19.819502859856,69.64167678391
"hsa-miR-30a-3p",533.16527147224,598.401342775245,1045.22023677552,1687.84730916096,646.575902656824,1438.54003056143,383.956986894276,915.179708438505,741.399107846051,963.343036260529,407.810223945848,373.56901590971,671.359362099171,475.668068636544,974.98347497474
"hsa-miR-30a-5p",4146.84100033964,1728.7149902396,871.0168639796,8083.90027019195,1697.26174447416,4618.47062443406,3490.51806267523,3704.29881987014,5812.56900551304,4335.04366317238,5081.9427907098,3847.76086387001,4699.5155346942,4251.28336343912,4126.26934944667
"hsa-miR-30b-5p",0,132.978076172277,174.20337279592,444.170344516041,80.821987832103,588.876035902339,418.862167521028,326.849895870895,444.83946470763,428.152460560235,219.590120586226,784.494933410391,386.540238784371,406.299808627048,330.797964723573
"hsa-miR-30c-5p",236.962342876551,0,87.1016863979601,799.506620128874,282.876957412361,386.975680735823,279.241445014019,326.849895870895,0,107.038115140059,564.660310078867,0,345.851792596543,406.299808627048,348.20838391955
"hsa-miR-30d-5p",2191.9016716081,1329.78076172277,2003.33878715308,4086.36716954758,3071.23553761991,3482.78112662241,2897.12999202044,2723.74913225746,4537.36254001783,3639.295914762,4015.36220500528,2652.34001295894,2888.87967933583,2735.09139466013,2768.25665216042
"hsa-miR-30e-3p",592.405857191378,398.93422851683,174.20337279592,710.672551225666,484.931926992618,555.22597670792,104.715541880257,980.549687612684,533.807357649156,883.064449905485,846.9904651183,597.710425455536,874.801593038314,931.516634413233,1218.72934371843
"hsa-miR-30e-5p",59.2405857191378,265.956152344553,0,1021.59179238689,767.808884404979,454.275799124662,663.198431908295,370.429881987014,622.775250590683,321.114345420176,721.510396211885,1382.20535886593,467.917131160028,753.141108674529,243.745868743685
"hsa-miR-31-5p",7227.35145773481,3989.3422851683,3309.86408312248,3864.28199728956,4566.44231251382,3701.50651138613,3769.75950768925,3007.01904201223,3825.61939648562,5646.2605736381,6054.41332473452,4781.68340364429,18655.6525771194,12902.4963617663,11369.0037349733
"hsa-miR-320a-3p",28080.0376308713,19547.7771973247,15242.795119643,10615.6712339334,23680.8424348062,12887.9726714626,25725.1181219165,12049.866161107,14234.8628706442,13460.0429788624,21206.1316451841,14905.4037347974,10192.4557700511,9671.91739560974,10846.691159094
"hsa-miR-320b",236.962342876551,398.93422851683,871.0168639796,355.336275612833,1293.15180531365,294.43801795117,418.862167521028,414.009868103133,593.11928627684,374.633402990206,62.7400344532074,298.855212727768,305.163346408714,218.014531458416,278.56670713564
"hsa-miR-33a-5p",947.849371506204,199.467114258415,522.61011838776,133.251103354812,242.465963496309,168.250295972097,279.241445014019,283.269909754775,118.623857255368,561.950104485308,313.700172266037,373.56901590971,61.0326692817428,69.368260009496,243.745868743685
"hsa-miR-340-5p",59.2405857191378,0,522.61011838776,444.170344516041,727.397890488927,572.05100630513,628.293251281542,239.689923638656,741.399107846051,481.671518130264,846.9904651183,522.996622273594,508.605577347857,515.307074356256,383.029222311505
"hsa-miR-342-3p",2902.78870023775,2659.56152344553,4529.28769269392,1821.09841251577,5495.89517258301,5013.85881996849,3490.51806267523,2484.0592086188,4240.80289687941,2381.59806186631,4987.83273902999,2054.6295875034,4333.31951900374,4053.08833484056,4317.78396060242
"hsa-miR-345-5p",3080.51045739516,1130.31364746435,1306.5252959694,488.587378967645,1373.97379314575,454.275799124662,1675.44867008411,1089.49965290298,1334.51839412289,1230.93832411068,690.140378985282,448.282819091652,366.196015690457,673.863097235105,591.954252663235
"hsa-miR-34a-5p",4502.28451465447,2194.13825684256,1916.23710075512,2176.4346881286,3354.11249503228,2380.74168800517,3315.99215954147,2767.32911837358,3588.37168197488,2194.2813603712,3042.89167098056,3660.97635591516,2665.09322530277,2338.70133746301,2002.19820753741
"hsa-miR-34b-3p",296.202928595689,0,261.30505919388,2665.02206709625,1656.85075055811,2035.82858126237,1570.73312820386,2048.25934745761,1245.55050118137,1685.85031345593,1505.76082687698,1755.77437477564,1464.78406276183,2477.437857482,2524.51078341674
"hsa-miR-34b-5p",138859.932925659,60239.0685060413,184742.676850073,207249.882751185,154450.818747149,166803.343426737,154734.665718393,185454.630917146,314620.12540555,162590.896897749,117229.754375818,189660.98937736,145196.720221266,106014.52079737,157355.368693245
"hsa-miR-34c-3p",4265.32217177792,3922.85324708216,4006.67757430616,9594.07944154648,4445.20933076567,10515.6434982561,7399.8982928715,7190.69770915968,12574.128869069,8643.32779755974,11575.5363566168,6911.02679432963,9073.52349988577,6807.99923236054,8896.72420914451
"hsa-miR-34c-5p",116111.54800951,52193.8948976186,147201.850012552,164698.363746548,131295.319233251,150222.276758687,115361.621971417,184583.031194823,263226.339249662,134894.784605259,84071.646167298,180956.831306663,111730.473231777,82369.8538855616,114978.408370235
"hsa-miR-361-3p",118.481171438276,0,696.81349118368,444.170344516041,444.520933076567,109.362692381863,418.862167521028,326.849895870895,296.55964313842,428.152460560235,752.880413438489,0,101.721115469571,198.19502859856,330.797964723573
"hsa-miR-361-5p",177.721757157413,66.4890380861383,0,44.4170344516041,484.931926992618,252.375443958145,279.241445014019,108.949965290298,237.247714510736,107.038115140059,376.440206719245,112.070704772913,244.130677126971,346.84130004748,174.104191959775
"hsa-miR-375-3p",3021.26987167603,8510.5968750257,2003.33878715308,6218.38482322457,2667.1255984594,3777.21914457358,2233.93156011215,1808.56942381895,4715.29832590088,3960.41026018217,3544.81194660622,2465.55550500408,1057.89960088354,1843.21376596661,2437.45868743685
"hsa-miR-378a-3p",5509.37447187981,3191.47382813464,2525.94890554084,1821.09841251577,5940.41610565957,1194.57710140189,5305.58745526636,2309.73926415432,1601.42207294747,1311.21691046572,941.100516798111,2614.98311136797,549.294023535685,554.946080075968,870.520959798875
"hsa-miR-3960",0,797.86845703366,174.20337279592,355.336275612833,1010.27484790129,849.66399465909,3630.13878518224,2331.52925721238,2402.1331094212,3451.97921326689,7058.25387598584,10049.0065279712,8198.72190684745,3537.7812604843,6946.75725919502
"hsa-miR-423-3p",3732.15690030568,6648.90380861383,8448.86358060213,4308.4523418056,7395.21188663743,2759.30485394239,5445.20817777337,5207.80834087626,5130.48182629467,3960.41026018217,5207.42285961622,6388.03017205604,3784.02549546806,2190.05506601409,2141.48156110523
"hsa-miR-423-5p",14395.4623297505,17952.0402832573,13413.6597052858,6884.64033999863,17376.7273839021,5451.30958949594,17033.7281458551,11657.6462860619,9994.05997376476,6743.4012538237,10508.9557709122,14681.2623252516,8381.81991469268,4082.81758913034,6685.60097125536
