"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9820952","R-HSA-9820952","Respiratory Syncytial Virus Infection Pathway","40/2421","119/11287",0.336134453781513,1.56710019819576,3.2497438558904,0.0013813068126712,0.0157706817552659,0.0114290268402705,"1956/6233/6773/9968/55090/3339/3837/1387/2239/7514/3455/5869/23097/3456/5469/7099/3454/5501/51003/6837/5610/25820/5499/9439/64135/2817/30835/2033/7314/1024/4131/3312/6923/3480/9443/5045/1457/6385/9672/9969",40
"R-HSA-69239","R-HSA-69239","Synthesis of DNA","37/2421","108/11287",0.342592592592593,1.59720883626295,3.25866847188362,0.00139350156639038,0.0158052414503751,0.0114540722814964,"27338/119504/5111/51053/10714/84515/6233/990/57804/5700/5422/5704/5706/6117/7324/5684/5695/5000/5689/9134/9837/4172/6119/84296/11047/7314/1017/3978/4176/51343/23594/5713/54107/898/7979/64682/4171",37
"R-HSA-6796648","R-HSA-6796648","TP53 Regulates Transcription of DNA Repair Genes","24/2421","62/11287",0.387096774193548,1.80469280888995,3.3199867038042,0.00146092317695827,0.0163547503706238,0.0118523018758761,"7157/904/472/1025/7936/1386/51224/4331/5892/5435/51497/4292/5437/672/1643/5434/6829/1111/6923/2176/5436/3725/2177/2353",24
"R-HSA-4086398","R-HSA-4086398","Ca2+ pathway","24/2421","62/11287",0.387096774193548,1.80469280888995,3.3199867038042,0.00146092317695827,0.0163547503706238,0.0118523018758761,"55970/5330/1499/5534/7976/3708/2782/192669/2783/6934/8323/7474/2784/27327/8322/10681/7855/51176/27161/808/6885/23112/26523/3845",24
"R-HSA-69306","R-HSA-69306","DNA Replication","57/2421","184/11287",0.309782608695652,1.44424465276655,3.17478635335088,0.00149838047123498,0.0166658576284459,0.0120777615773037,"27338/3014/8970/119504/5111/51053/10714/84515/8367/6233/554313/23633/8363/990/3837/57804/8347/121504/5428/5700/5422/5704/8359/5706/56652/6117/7324/5684/5695/5000/5689/3836/3021/9134/8346/9837/4172/6119/84296/11047/8349/7314/1017/3978/8370/4176/51343/246243/8337/23594/5713/54107/898/7979/64682/85236/4171",57
"R-HSA-76009","R-HSA-76009","Platelet Aggregation (Plug Formation)","17/2421","39/11287",0.435897435897436,2.03220750060899,3.37415644023892,0.0015647738665686,0.0172927573459248,0.01253207635002,"5170/3690/10125/2335/2147/207/1398/5770/150/2815/5908/1445/11069/2885/2812/1278/6714",17
"R-HSA-177243","R-HSA-177243","Interactions of Rev with host cellular proteins","16/2421","36/11287",0.444444444444444,2.07205470650328,3.36648117307915,0.00166634754240203,0.0181821719183614,0.0131766358673732,"9972/1104/9688/3837/23511/7514/5903/348995/8480/55706/5905/79023/11097/4869/10762/23165",16
"R-HSA-5673000","R-HSA-5673000","RAF activation","16/2421","36/11287",0.444444444444444,2.07205470650328,3.36648117307915,0.00166634754240203,0.0181821719183614,0.0131766358673732,"5604/5529/3265/3717/5528/5894/4893/5501/5245/5515/808/4296/3845/6714/8036/5527",16
"R-HSA-5218921","R-HSA-5218921","VEGFR2 mediated cell proliferation","11/2421","21/11287",0.523809523809524,2.44206447552172,3.45631253573157,0.00176477436378984,0.0191350377558094,0.0138671785718909,"8877/5170/5921/3265/3708/4893/5580/7422/808/3845/6714",11
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","35/2421","102/11287",0.343137254901961,1.5997481189915,3.17946860083605,0.00179358398023735,0.0193258673870574,0.0140054729723042,"7157/5604/6233/7189/6416/351/3146/9097/4214/4208/1386/5528/1432/5599/7099/11274/9683/28511/4790/841/10454/1846/3656/5515/1848/1845/7314/3725/1849/6885/2353/5609/57161/6195/1385",35
"R-HSA-8866652","R-HSA-8866652","Synthesis of active ubiquitin: roles of E1 and E2 enzymes","14/2421","30/11287",0.466666666666667,2.17565744182845,3.36925317096571,0.00182234985962692,0.0195138581242037,0.0141417100236828,"27338/7327/6233/7874/7324/8239/7314/7319/3093/55236/7328/7320/54926/7332",14
"R-HSA-1483255","R-HSA-1483255","PI Metabolism","30/2421","84/11287",0.357142857142857,1.66504396058299,3.19688035698925,0.00183379250848746,0.0195151745964962,0.0141426640723028,"22908/51763/377/23396/200576/9896/10908/8897/51573/5291/90809/5294/27124/5286/8867/79837/5728/9110/5867/5295/59338/375/126282/5783/6305/5293/84725/30849/3635/54545",30
"R-HSA-5693565","R-HSA-5693565","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","28/2421","77/11287",0.363636363636364,1.69531748713905,3.19911065631171,0.00188502328197111,0.0198406602958784,0.0143785438428854,"7157/3014/8970/8467/8367/6233/554313/472/8314/8363/8347/9682/29086/121504/11200/8359/5599/7329/8346/51588/25/672/8349/7314/8370/85236/165918/7336",28
"R-HSA-450294","R-HSA-450294","MAP kinase activation","24/2421","63/11287",0.380952380952381,1.77604689128853,3.22766136270468,0.00188739459891186,0.0198406602958784,0.0143785438428854,"5604/6233/7189/6416/4208/1386/5528/1432/5599/4790/10454/1846/3656/5515/1848/1845/7314/3725/1849/6885/2353/5609/6195/1385",24
