"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-109606","R-HSA-109606","Intrinsic Pathway for Apoptosis","25/2421","55/11287",0.454545454545455,2.11914685892381,4.34753845057038,5.86820353752697e-05,0.00207080457992305,0.00150071388746355,"7533/54205/1687/842/27113/840/90427/7534/56616/5599/207/841/5534/637/331/6774/5366/596/836/578/1029/581/2810/7531/7157",25
"R-HSA-69242","R-HSA-69242","S Phase","53/2421","150/11287",0.353333333333333,1.64728349167011,4.17022612645911,5.88569747193905e-05,0.00207080457992305,0.00150071388746355,"7314/119504/4331/6119/5111/57804/994/898/4171/51343/5684/6233/84515/84296/7324/5753/64682/5689/4609/7979/595/6117/993/1019/7465/4176/5422/5700/10714/1017/9837/5695/5706/2932/207/9134/5885/5704/51053/4172/3978/23594/10274/990/5000/54107/11047/1027/5925/27338/5713/23244/1026",53
"R-HSA-9839373","R-HSA-9839373","Signaling by TGFBR3","22/2421","46/11287",0.478260869565217,2.22971104286766,4.36699876579298,6.25420934900484e-05,0.00213205563282726,0.00154510257899259,"27327/4656/7049/7046/5914/23112/4325/4613/6925/7076/408/3623/2033/6667/2247/4089/6938/26523/27161/7048/192669/7040",22
"R-HSA-9700206","R-HSA-9700206","Signaling by ALK in cancer","36/2421","91/11287",0.395604395604396,1.84435638710732,4.22589399178622,6.4307942521472e-05,0.00213205563282726,0.00154510257899259,"1786/3725/7314/3799/3065/5291/22872/4170/6233/4478/2305/3726/891/2335/1051/10817/7535/5295/4193/5599/4869/9451/27436/7170/3662/7171/6774/2885/7414/26523/27161/5925/5903/7157/192669/1026",36
"R-HSA-9725370","R-HSA-9725370","Signaling by ALK fusions and activated point mutants","36/2421","91/11287",0.395604395604396,1.84435638710732,4.22589399178622,6.4307942521472e-05,0.00213205563282726,0.00154510257899259,"1786/3725/7314/3799/3065/5291/22872/4170/6233/4478/2305/3726/891/2335/1051/10817/7535/5295/4193/5599/4869/9451/27436/7170/3662/7171/6774/2885/7414/26523/27161/5925/5903/7157/192669/1026",36
"R-HSA-9692914","R-HSA-9692914","SARS-CoV-1-host interactions","37/2421","95/11287",0.389473684210526,1.81577425596209,4.1723573937208,7.57834852364396e-05,0.00243149309548775,0.00176210516967555,"7314/7533/7187/6189/6233/26007/6206/861/64135/7189/5094/3656/4790/6234/3837/7534/1915/6201/2033/6667/4869/5478/5706/6192/9868/6231/3838/6229/4089/9360/6187/5170/2810/7329/7531/857/2280",37
"R-HSA-389948","R-HSA-389948","Co-inhibition by PD-1","70/2421","214/11287",0.327102803738318,1.5249935339919,4.05164835305603,7.61604565872032e-05,0.00243149309548775,0.00176210516967555,"8367/3725/27327/5565/7314/2146/1457/8970/142678/1387/467/3120/5684/6233/7991/8337/84061/8359/8726/121504/5689/8363/4609/4780/10413/23112/6400/7979/3091/4613/2353/595/3021/4790/1019/8346/7415/2033/1499/5700/85236/6934/5695/5706/8349/51176/6184/554313/29126/1445/2932/58508/5704/6774/8370/5571/2354/5562/79139/7005/26523/3014/8347/27161/11047/3727/5713/920/192669/23476",70
"R-HSA-6804760","R-HSA-6804760","Regulation of TP53 Activity through Methylation","10/2421","14/11287",0.714285714285714,3.33008792116599,4.55848077044275,8.59106849511551e-05,0.0026929094701053,0.00195155384465072,"7314/79813/6233/472/11200/2033/4194/4193/387893/7157",10
"R-HSA-3108232","R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","61/2421","183/11287",0.333333333333333,1.55404102987746,3.94849234523367,0.00011877692250435,0.00365663239995534,0.00264996469351351,"8367/1786/9189/7155/3065/5111/1387/23511/5905/672/165918/11315/51588/7020/8359/367/121504/3190/5914/8363/348995/9759/6294/80012/142/23165/7421/6117/6996/7150/1789/8480/2033/6045/3622/4193/4869/554313/9063/5885/10762/8370/10401/11097/55706/23314/9972/10274/1029/9212/79023/1487/2099/79677/9612/9688/7329/5610/7508/5903/7157",61
"R-HSA-8848021","R-HSA-8848021","Signaling by PTK6","24/2421","54/11287",0.444444444444444,2.07205470650328,4.12638268537263,0.000127124170157035,0.00376875264217959,0.00273121833096585,"387/7314/5921/10457/2065/898/6233/5770/5753/3091/595/3845/1793/1019/3265/1398/1017/1956/4893/207/6774/6421/2064/1027",24
